Dimensions, Total Time, Average Time,,
2,10.8153,5.41E-05,,
4,12.9301,6.47E-05,,
6,15.9334,7.97E-05,,
8,18.4526,9.23E-05,,
10,22.3162,0.000111581,,
12,22.7611,0.000113805,,
14,25.5833,0.000127916,,
16,27.6051,0.000138025,,
18,30.1036,0.000150518,,
20,34.5483,0.000172741,,
22,36.0348,0.000180174,,
24,38.6631,0.000193315,,
26,40.2671,0.000201335,,
28,48.7045,0.000243522,,
30,49.468,0.00024734,,
32,48.3186,0.000241593,,
34,52.6027,0.000263014,,
36,56.2867,0.000281434,,
38,57.6607,0.000288304,,
40,72.6121,0.00036306,,float32 [64]
42,62.4451,0.000312226,,
44,65.9744,0.000329872,,
46,73.6791,0.000368395,,
48,75.9808,0.000379904,,
50,73.5159,0.000367579,,
52,77.277,0.000386385,,
54,80.2621,0.00040131,,
56,94.3593,0.000471797,,
58,96.744,0.00048372,,
60,97.0169,0.000485085,,
62,100.034,0.000500169,,
64,97.821,0.000489105,,
66,216.8,0.001084,,
68,275.458,0.00137729,,
70,293.366,0.00146683,,
72,300,0.0015,,
74,308.775,0.00154387,,
76,314.96,0.0015748,,
78,319.74,0.0015987,,
80,334.297,0.00167148,,
82,332.313,0.00166156,,
84,346.671,0.00173336,,
86,352.796,0.00176398,,
88,353.029,0.00176514,,
90,367.821,0.0018391,,
92,375.415,0.00187707,,
94,382.304,0.00191152,,
96,391.843,0.00195921,,
98,398.948,0.00199474,,
100,405.834,0.00202917,,
102,413.766,0.00206883,,
104,422.523,0.00211261,,
106,429.611,0.00214805,,
108,434.154,0.00217077,,
110,446.435,0.00223217,,
112,313.906,0.00156953,,
114,393.663,0.00196831,,
116,451.767,0.00225883,,
118,445.906,0.00222953,,
120,454.154,0.00227077,,
122,489.622,0.00244811,,
124,498.749,0.00249375,,
126,504.682,0.00252341,,
128,510.069,0.00255034,,
130,518.756,0.00259378,,
132,525.91,0.00262955,,
134,534.911,0.00267455,,
136,534.41,0.00267205,,
138,553.714,0.00276857,,
140,544.302,0.00272151,,
142,568.685,0.00284343,,
144,570.183,0.00285092,,
146,588.892,0.00294446,,
148,585.203,0.00292601,,
150,600.135,0.00300067,,
152,607.936,0.00303968,,
154,617.073,0.00308537,,
156,623.545,0.00311773,,
158,600.693,0.00300346,,
160,634.291,0.00317146,,
162,634.586,0.00317293,,
164,634.751,0.00317376,,
166,660.326,0.00330163,,
168,663.426,0.00331713,,
170,669.217,0.00334609,,
172,677.974,0.00338987,,
174,677.363,0.00338681,,
176,675.333,0.00337666,,
178,697.784,0.00348892,,
180,699.346,0.00349673,,
182,707.193,0.00353597,,
184,709.027,0.00354513,,
186,728.186,0.00364093,,
188,739.373,0.00369686,,
190,732.074,0.00366037,,
192,747.998,0.00373999,,
194,760.99,0.00380495,,
196,766.052,0.00383026,,
198,770.467,0.00385233,,
Total time: 177073,,,,
36.5562589,,,,
